ax,ay,az
12280,-7368,-10968
10168,-4036,-13840
11688,668,-13080
13536,176,-10864
13576,-3792,-10628
10852,-7068,-14016
7676,-5308,-17692
7048,-64,-17776
9900,2632,-15064
11856,840,-11932
10376,-3780,-12780
7748,-4236,-16112
6404,-240,-18460
8716,4916,-15124
12068,3884,-10308
13048,-1428,-9328
10456,-5012,-11376
8524,-2392,-15368
9724,2848,-14428
13224,4444,-10432
15548,1516,-6420
14508,-2920,-7800
11964,-2892,-12316
10880,1228,-14840
12704,5636,-12996
15792,4312,-8724
15856,-1180,-8280
12776,-4000,-10920
10496,-1688,-15136
11340,2724,-13924
13476,3172,-10388
15364,-544,-9284
13156,-4836,-11504
9248,-4808,-15424
7868,-604,-17312
10384,2008,-16980
13072,-824,-14288
12740,-6964,-14904
10168,-9008,-18524
8280,-5800,-22564
9516,-1160,-21404
11572,-1164,-16996
13060,-4624,-14544
11048,-7800,-15136
7548,-6572,-17952
6588,-1556,-18228
8696,1436,-15268
11004,-88,-11028
10712,-4564,-10980
8448,-5032,-13908
6540,-388,-16364
7724,4920,-13940
10776,4780,-9496
12064,1100,-8076
10856,888,-10240
6928,1828,-12988
7516,5780,-12256
9508,7980,-11092
11948,5312,-7188
10792,1388,-8576
8260,316,-12396
6956,3912,-13212
8780,7844,-11332
11728,5688,-8216
12856,692,-8268
10676,-1696,-11300
8356,208,-15976
8876,4084,-16272
11496,4272,-14284
13308,388,-12284
11708,-3544,-14924
9032,-3584,-19356
7476,-820,-20584
9376,1448,-19044
11784,-564,-15556
11904,-5756,-15648
9424,-7508,-18612
7248,-4036,-22288
7644,660,-20812
10268,668,-17408
12084,-3052,-15276
10052,-6240,-16568
7000,-4552,-19736
6068,-280,-19560
7988,1960,-16456
10368,724,-12688
9852,-3564,-13316
7372,-3884,-16064
5432,-12,-18396
7064,5400,-15360
10036,5848,-8784
11544,1756,-6596
9496,-900,-10188
6952,1568,-14836
7320,6196,-13248
10280,7656,-9020
13108,4960,-6180
12788,956,-8076
10396,960,-11836
8824,4180,-13416
11184,7660,-11484
14588,5608,-7380
15392,596,-7692
12756,-1968,-10956
10368,-68,-15396
10756,3764,-15044
12988,3372,-12524
14500,-1128,-11148
12984,-5464,-13684
10260,-5084,-17672
8120,-1528,-19128
9160,952,-18260
11368,-1736,-16004
11008,-6864,-15732
7820,-7820,-17216
5652,-4692,-20768
6244,-660,-19656
8660,-1092,-15972
10400,-4992,-13620
8716,-7676,-14944
6084,-5692,-18432
5368,-1404,-17740
7852,1268,-14464
10624,-496,-10732
10524,-4552,-11220
8084,-4388,-14212
6316,-616,-16816
7928,4068,-14400
11220,3720,-9432
13240,296,-6984
11604,-1932,-8564
9124,476,-12344
9480,5164,-12088
12528,6888,-8828
14984,4784,-5484
14836,500,-6392
12876,36,-9548
11288,3316,-11696
12924,7340,-10456
15904,5724,-7308
16932,1080,-6700
14524,-1700,-8812
12200,192,-12836
12440,4652,-13064
14792,5148,-10908
16760,1176,-8888
15800,-2876,-10236
13520,-2560,-13464
11128,1144,-15148
11904,3784,-14524
13384,712,-13116
12612,-4992,-13300
9248,-7280,-14956
6180,-4852,-18032
5896,-1620,-18472
7292,-2780,-17164
7940,-6972,-15620
6296,-10760,-16828
3904,-9988,-19760
2408,-6436,-20144
4532,-3292,-18852
7460,-5256,-15348
7232,-9200,-15312
4944,-9972,-17756
3308,-6268,-20568
4676,-1240,-18208
7600,-692,-14084
9368,-3728,-12416
7924,-5904,-13996
5508,-3424,-17092
5036,1452,-16564
7904,4068,-13368
10840,2564,-9980
11236,-868,-9964
9132,-696,-12244
8156,3112,-13936
10440,7404,-12264
13476,7360,-8424
15308,3776,-7064
13532,1092,-8724
11340,2812,-11968
12088,6972,-11844
14980,8128,-9204
17036,5652,-6420
16884,1620,-7704
15240,1172,-10760
13584,4224,-12088
15324,8116,-10708
17768,7308,-8448
19120,3072,-7296
16432,-348,-8716
13352,980,-12844
13136,4480,-14052
15088,5420,-11816
16756,2544,-8840
15672,-2688,-9984
13044,-4304,-13520
10776,-1276,-16856
10788,1884,-15892
12184,24,-13508
12476,-4944,-12784
9428,-7932,-14108
5924,-6332,-17452
5504,-2888,-17996
7180,-2128,-16568
8460,-4684,-13840
7128,-8832,-14808
4796,-9048,-18532
3236,-5444,-19756
4996,-940,-17480
7984,-2216,-14124
8292,-7048,-13516
5540,-9036,-15720
3848,-5812,-19308
5084,-940,-17368
8116,132,-13124
10720,-2448,-10716
9516,-5288,-12240
6924,-3708,-15788
