ax,ay,az
15712,5188,-13732
16812,1480,-7344
15440,16,-2628
13496,1740,-6468
13152,4076,-13168
15052,3704,-15264
16276,1248,-9788
15452,-2500,-3208
13760,-2392,-4408
12264,968,-11312
12984,3108,-15832
14988,1292,-12360
15076,-1968,-5084
12736,-2196,-2372
10608,648,-8192
11508,3568,-14508
13128,2344,-13720
13956,-308,-6244
13040,-2328,284
11492,-960,-2240
11080,2300,-9076
12560,3728,-12708
14736,1744,-7992
14716,-1536,-164
13316,-1192,776
11804,2724,-5356
12824,5660,-11112
14952,4052,-9552
15744,808,-3008
14636,584,1584
13088,3652,-2644
13112,7276,-9420
15412,8172,-11384
17344,6300,-6248
16688,4320,-84
15308,5824,-968
14736,9676,-7296
16396,12484,-12152
18920,11880,-9236
19212,8676,-2884
17676,8184,-72
16024,10852,-5608
17236,14164,-11968
19428,12576,-11652
20776,8812,-5872
19668,6884,-824
17948,8180,-3712
17276,10700,-10092
18648,10656,-13500
20476,7756,-9756
19828,3904,-3248
17848,3272,-1728
16096,5588,-7664
16796,7344,-13296
18112,4736,-12136
18508,448,-5812
16100,-1116,-1428
13556,704,-5052
13460,3528,-9864
14624,2112,-12336
14960,-1428,-7456
13380,-4096,-1756
10800,-2732,-2676
9484,464,-8924
11068,1660,-13512
12420,-152,-10112
12276,-3408,-3328
10520,-3424,-1396
8980,-600,-7708
10016,2504,-13956
11616,976,-13108
12640,-2424,-6776
11568,-3156,-920
10420,-900,-3668
10892,2500,-10564
12532,3740,-14648
14172,1812,-10108
14304,-596,-3304
13364,708,-2000
12292,4740,-7456
13808,8416,-13436
15820,7936,-11672
16820,5000,-4888
15588,4804,-624
14164,8020,-4888
14880,11692,-10840
17056,11768,-12036
18848,9248,-6228
18136,7000,-316
16708,8152,-2060
16400,11524,-9004
17720,12580,-13216
19744,9940,-9376
20276,6232,-2704
19000,5848,-764
17320,8488,-6316
18348,10952,-12816
20176,8424,-11620
20860,4488,-5240
19564,3424,-248
17460,5096,-3828
17052,7636,-9336
18104,6840,-12880
18560,3584,-8604
17360,628,-3096
14816,-408,-740
12604,1348,-6316
12648,3340,-12012
14012,588,-11296
14248,-3660,-4652
11904,-4112,-184
9716,-2524,-4804
9224,-112,-11416
10768,-292,-13520
11700,-2372,-7548
10444,-4864,-1724
8976,-3812,-3160
7996,-236,-10016
8956,2548,-13976
11308,4,-10684
11952,-3604,-4408
10996,-2952,-1556
9544,12,-6308
10908,3324,-12020
12684,2988,-12344
14332,256,-6916
14168,-1516,-1992
12796,1136,-4740
12872,5604,-10508
15092,7592,-13216
17236,6060,-8804
17248,4152,-2628
15820,4888,-1664
14476,8476,-8048
16024,11808,-13524
18404,11160,-11708
19412,8224,-4664
18048,7928,136
16412,10708,-3924
16892,14036,-10592
18580,13600,-12528
20296,10536,-7232
19932,7824,-1204
18328,8440,-1524
17732,11212,-8092
19288,12072,-12648
21160,9088,-9684
21512,5040,-2856
19700,4128,228
17840,6192,-4468
18172,8300,-11296
19540,5904,-12056
20260,2040,-5504
17732,-648,-136
14916,296,-2688
13612,2512,-9476
14148,2528,-12904
14980,-300,-8716
13396,-3580,-1784
10708,-3008,-544
9040,-676,-7168
9784,1540,-12712
11204,4,-10396
11312,-3700,-3556
9684,-4396,-892
7620,-1564,-6392
8040,1752,-12928
9816,1364,-13164
10820,-1304,-6940
10604,-4280,-2188
8948,-3064,-5100
8508,888,-10920
10204,2296,-13644
12452,716,-10024
12940,-2324,-3852
11864,-1856,-2748
10948,1516,-8468
12580,5536,-14812
15028,4892,-13684
17016,1876,-7048
16596,1724,-1728
15164,4756,-4492
14940,8896,-11204
17036,10552,-14140
19112,9168,-9204
18756,6868,-1968
17568,7920,-836
16156,11196,-7040
17620,14244,-12568
19752,12628,-10300
20864,8932,-3164
19676,7688,816
17976,10000,-4060
18408,12324,-10988
20648,10828,-12268
22088,7048,-6712
21100,4604,-512
19172,5572,-1876
18460,8120,-8824
19400,8580,-13272
20960,6340,-10260
20376,2776,-2636
17692,2052,-452
14896,3964,-6904
14864,5864,-13496
15852,3560,-11792
15552,-752,-4664
12712,-2716,640
9940,-1460,-2696
8896,876,-10108
10160,432,-12908
10860,-2552,-7672
9624,-4780,-888
7928,-3836,-2092
6684,-1000,-9244
7968,1556,-14524
10176,128,-11068
10484,-3684,-3860
9488,-3920,-1824
8320,-848,-8252
9952,2196,-14264
12192,2032,-13192
14052,-868,-6908
13744,-2216,-1656
12688,236,-4304
12688,4112,-10292
14624,5884,-13340
17008,4968,-9284
17412,3040,-2888
15944,3812,-1548
14892,7196,-7208
16592,10876,-12852
18420,10452,-10568
19588,8036,-3360
18360,7320,1396
16652,9760,-3012
16536,12884,-9872
18644,12840,-11896
20352,10280,-6004
19756,7464,904
18520,7748,100
17692,10404,-7196
18856,11316,-12720
20940,8528,-10104
21040,4652,-2900
19152,3976,916
17352,6176,-4836
17456,8240,-11812
18692,6404,-12372
19316,2940,-6076
17584,1144,-20
15128,1936,-2376
13788,3996,-9692
14800,3772,-13384
14996,1108,-8804
14148,-2732,-1752
11736,-3492,-1020
9696,-980,-7768
10180,1436,-13760
12100,-544,-12144
12500,-4188,-5368
10412,-5036,-2044
8488,-1808,-8128
8668,1548,-15160
10040,1244,-15980
11428,-996,-9528
10668,-3660,-3416
9088,-3556,-5732
