ax,ay,az
8412,3096,-17224
11468,2344,-14580
10600,-1328,-12592
6024,-4552,-13840
3660,-1940,-16592
5776,1420,-17196
9376,3816,-15940
12544,240,-14076
7804,-5152,-12844
4892,-3152,-15320
4628,1032,-17620
8212,3020,-17220
10900,2548,-14644
10968,-1136,-13008
6200,-4880,-13764
3908,-2132,-16976
6288,1204,-17772
8956,3776,-15704
12052,640,-13272
8288,-4880,-12896
5180,-3376,-16272
4140,232,-17632
7764,3108,-16676
11160,2776,-14868
11352,-1160,-13196
5700,-4920,-13428
3704,-2012,-16404
5932,1280,-17552
9168,3804,-16324
12172,1728,-14416
9392,-3384,-12328
5604,-3808,-14528
3424,-940,-16848
6508,1828,-17032
9696,3392,-15488
12376,-108,-14048
6952,-5400,-12944
4144,-3168,-15916
5700,1712,-18252
8692,3504,-17012
11400,2012,-14056
9860,-2524,-12432
6332,-4592,-14880
3388,-896,-17236
6300,1768,-16712
9888,3472,-15520
12420,-288,-14020
6996,-5304,-12784
4340,-2772,-15568
5036,1032,-18044
8424,3168,-17000
11884,2228,-14620
10128,-2208,-12536
6040,-4260,-14124
3272,-1368,-16556
6412,1532,-17252
9644,3708,-15744
12332,-52,-13696
7356,-5260,-12748
4552,-2860,-15764
5252,1484,-18264
8620,3116,-16960
10948,2332,-13956
10136,-1712,-12768
6268,-4764,-14440
3576,-1700,-16888
6600,1520,-17260
9304,3928,-15380
12452,156,-13684
7864,-5288,-13124
4464,-3056,-15672
4264,628,-17300
8132,3176,-17044
11444,2440,-14768
10664,-1504,-13132
5756,-4464,-13896
3936,-2024,-16616
6548,1180,-17260
9216,3920,-15632
12296,224,-13508
8240,-5008,-13044
5052,-2944,-15852
4144,832,-17288
8064,3152,-17016
10824,2612,-14668
11164,-1076,-13216
6152,-4924,-13688
3740,-2044,-16848
6344,1176,-17784
9224,3740,-15792
11760,628,-13368
8156,-4796,-12544
5268,-3216,-15864
4244,312,-17772
7900,2924,-17068
10976,2856,-14452
11300,-1016,-13252
5976,-5200,-13336
3972,-2132,-16996
6384,1168,-18028
9292,3716,-16064
11828,756,-13548
8552,-4596,-12420
5300,-3184,-15452
4072,260,-17628
7732,2592,-17312
10340,2944,-14432
11444,-548,-13180
6308,-5032,-13500
3816,-2460,-16932
5968,1244,-17888
9240,3720,-16208
11800,712,-13508
8508,-4324,-12612
5616,-3324,-15668
4076,60,-17456
7600,2300,-17028
10352,3160,-14664
11724,-580,-13444
6244,-5384,-13320
4012,-2360,-16492
6176,1084,-17940
9168,3780,-16340
11796,1224,-13484
8804,-4232,-12824
5500,-3400,-15188
3692,-176,-16900
7544,2060,-17028
10184,3164,-14616
11792,-336,-13612
6416,-5304,-13336
4048,-2608,-16332
5808,1328,-18076
9244,3460,-16572
11736,1132,-13544
8916,-3708,-12664
5740,-3440,-15188
3980,-468,-17088
6976,2168,-16836
10292,3460,-15024
12100,-516,-13616
6296,-5360,-13040
4292,-2392,-16068
5952,1020,-18048
9116,3888,-16984
11536,1416,-13576
9168,-3660,-12716
5772,-3832,-14672
3556,-1024,-16848
7064,1268,-16964
9820,3304,-14996
12032,-16,-13732
6752,-5256,-12992
4548,-3024,-16388
5364,1320,-17828
9064,3692,-16472
11736,1464,-13772
9488,-3088,-13048
5808,-3940,-14696
3788,-196,-16788
6900,2048,-17400
9928,3164,-15432
12232,-344,-13544
6632,-5404,-12792
4700,-2416,-16088
5632,1016,-17996
8748,3740,-16972
11316,1908,-14064
9768,-3248,-13084
5760,-4292,-14136
3392,-920,-16516
6996,1316,-17368
9496,3284,-15112
12088,-112,-13600
6992,-5136,-12980
4428,-2760,-15944
4864,1188,-17716
9096,3512,-17016
11608,1756,-14172
9676,-2664,-13112
5716,-4164,-14028
4156,-548,-16892
6748,1912,-17188
9664,3380,-15624
12568,-504,-13960
7044,-5612,-13020
4684,-2332,-15892
5372,1280,-17840
8708,3444,-17044
11236,2004,-14244
9956,-2660,-12844
6092,-4296,-14156
3552,-708,-16844
6448,1368,-17532
9492,3600,-15388
12460,-180,-14172
7324,-5432,-13012
4472,-2876,-15504
4168,1012,-17352
8568,3272,-17244
11640,1936,-14776
10056,-2320,-12732
5864,-4200,-13944
3692,-820,-16732
6524,1524,-17396
9556,3804,-15956
12216,-124,-13604
7704,-5480,-12492
4840,-2728,-15872
4864,1464,-17852
8512,3216,-17200
10932,2192,-14448
10404,-1952,-12696
6252,-4648,-14120
3664,-1572,-16960
6420,1048,-17684
9444,3656,-15588
12216,192,-13900
7852,-5060,-12848
4972,-3112,-15488
3980,376,-17524
8004,3016,-16996
11548,2488,-14596
11000,-1712,-12940
6024,-4468,-13728
3348,-1344,-16176
6200,1484,-17428
9584,3876,-16408
12436,-172,-14116
7944,-5068,-12460
5104,-2792,-15440
4500,1236,-17552
8152,2660,-16984
10516,2548,-14536
11128,-1328,-13256
6272,-4980,-13496
3860,-1916,-16720
6596,1152,-17928
9172,3812,-15820
11908,868,-14076
8324,-4980,-12580
5288,-3364,-15220
4224,408,-17488
7820,2888,-17088
10828,2632,-14556
11280,-960,-12912
6204,-4964,-13352
3608,-1872,-16548
5720,1196,-17672
9180,3684,-16516
12404,484,-13972
8604,-4660,-12304
5464,-3296,-15152
3720,580,-16912
7800,2456,-17400
10376,2824,-14904
11780,-688,-13376
6540,-5040,-13080
