ax,ay,az
11844,-7132,-4088
10272,-5552,-11776
10792,-1312,-16252
12792,-304,-13240
14512,-1916,-6140
14152,-3800,-2200
12924,-3640,-7676
12852,72,-14268
14308,3004,-15608
16464,3104,-8976
17484,968,-2440
16432,548,-4168
14264,3228,-11636
14688,7156,-16196
17024,7716,-12804
17964,4996,-5800
16664,3696,-3092
15000,5292,-8956
14592,8160,-15404
15504,8932,-16164
17520,8128,-10632
17000,6148,-4140
15276,6436,-5108
13656,7892,-11676
14608,9392,-16992
16036,8116,-13796
16272,5144,-6552
15080,3920,-3416
13384,4424,-8644
13256,5492,-15540
14832,3236,-15928
15752,800,-10520
14180,-1548,-4112
12356,-2720,-5324
11684,-1376,-12404
11900,-980,-16852
13688,-2420,-12372
13548,-4852,-4612
11908,-5308,-1840
9956,-3592,-8380
10488,-1352,-15448
12316,-2092,-13988
12864,-3800,-6856
11660,-5016,-1932
10472,-4024,-6344
11056,-1224,-14360
12008,308,-16312
13828,136,-10492
14152,-1880,-3244
13544,-1532,-3888
12204,1200,-10752
13416,3988,-16576
15680,3548,-13616
16448,1592,-6416
15636,1864,-3180
14060,3956,-8532
14260,6424,-15088
15736,6796,-15336
17432,5720,-9384
16852,4552,-3720
15256,4984,-6092
14584,7316,-13344
15704,8756,-17340
17244,8080,-12896
17080,6016,-5628
15696,5528,-3536
13656,6700,-9576
13944,7948,-16704
15388,6280,-15712
15836,3648,-9228
14672,1520,-3676
12916,1000,-6692
12320,2364,-13452
13232,1880,-16592
14360,-776,-12092
13420,-3928,-4828
11516,-4656,-3304
9772,-3288,-9264
11004,-1548,-14828
12984,-2672,-11656
13064,-5600,-4312
11964,-6636,-1392
10388,-5168,-8404
10568,-1728,-14732
11948,-1368,-13472
13392,-2092,-7140
12424,-4704,-1432
11252,-4816,-5840
10844,-1296,-13228
11628,1576,-15944
13868,1828,-9868
14968,-1072,-3244
14396,-1708,-3516
12872,1008,-11292
13040,4496,-16740
15748,4184,-14444
17376,2216,-8096
16416,1564,-3340
14512,3104,-6848
14172,5864,-13524
15720,7376,-16248
17516,6492,-11872
17360,4720,-6208
16140,4980,-6204
14392,7368,-12552
15100,9820,-17584
16740,8760,-15100
17480,6544,-8464
16096,6052,-3904
14152,7064,-7956
14172,8504,-14792
15120,7960,-17088
16200,6020,-11456
15124,3376,-4664
13976,2088,-4564
12744,2920,-10256
13360,3568,-15948
14936,1424,-13756
14872,-2200,-7208
13420,-3064,-2564
11552,-1984,-6740
11924,-220,-13320
13172,-2312,-13884
14128,-4440,-8160
12344,-5480,-1724
10508,-5020,-4384
10480,-2568,-11552
11496,-1848,-15708
12692,-2728,-11148
11960,-4424,-4456
11088,-4044,-3732
9788,-2272,-10076
11044,100,-15564
13428,-184,-13140
14244,-2152,-6684
13336,-1896,-2348
11644,68,-7480
12696,2848,-13988
14328,3860,-15628
16244,3612,-10612
16112,2420,-4196
14756,3064,-5004
13508,5704,-11244
15196,8252,-16684
17352,7888,-13484
17632,5848,-6780
16448,5884,-3556
15020,7540,-8884
15460,9512,-15188
16888,9096,-15496
18236,7532,-9372
17156,6480,-3264
15580,7044,-5104
15224,8652,-11880
16020,8808,-16688
17948,7056,-12980
17828,4104,-6800
16532,2348,-3604
14576,3448,-8232
14468,4304,-14652
15996,1668,-14156
15872,-1764,-8760
