ax,ay,az
9244,-5632,-12464
10636,-4072,-18716
12988,-5168,-15648
13824,-6896,-8356
12984,-5972,-4680
11332,-4116,-10560
11824,-1732,-17248
13516,-1272,-17408
15384,-1356,-11080
14764,-2204,-4876
12732,-1160,-6920
11664,1796,-13600
13620,4188,-18008
15660,3580,-14184
15744,1980,-6984
13976,2288,-4928
12216,4680,-10696
12876,6600,-16816
14424,6052,-16032
15752,4604,-9740
14360,4008,-4300
12572,5192,-6944
12068,7292,-13824
13172,7268,-17460
15144,5856,-13304
15232,3424,-6768
13760,3524,-4604
11688,4908,-11160
12436,4808,-18188
14676,2668,-17644
14760,-100,-10896
13184,-2488,-4612
10816,-2272,-8264
10140,-884,-16044
11064,-1344,-18192
12552,-4264,-12456
11668,-7680,-4772
9100,-7576,-5916
7092,-6640,-14288
9220,-5984,-18744
12036,-6340,-13224
12200,-8324,-5464
10420,-9300,-4936
8880,-7792,-14100
9716,-5088,-20212
11180,-4376,-16360
12948,-4316,-8164
12064,-6496,-4228
10580,-6996,-10480
9980,-3924,-17280
11940,-540,-17772
13984,856,-10448
14696,-1776,-4756
13788,-3088,-7076
11968,-548,-15148
12460,3832,-17984
15012,5228,-13296
16636,3488,-5816
15144,1532,-4332
13532,1996,-11096
12864,5556,-17016
14316,7920,-16092
16480,7264,-9748
16716,4792,-4768
14860,4512,-6664
12724,6440,-13724
13776,8488,-17848
15668,8332,-13296
16324,5892,-5664
14924,3992,-3756
13064,4252,-10700
13088,5984,-17576
14184,5316,-18004
16580,3208,-9920
15420,1140,-4504
13108,-1112,-7744
10936,-840,-15108
11628,972,-19824
13644,-768,-14512
13428,-5328,-5600
10816,-7200,-3144
7640,-6604,-11928
7900,-5404,-18824
9872,-6120,-15732
11348,-7452,-6628
9596,-10220,-2412
7500,-10392,-9456
6968,-7552,-18072
8548,-5400,-19088
10808,-5124,-10548
10832,-7536,-4804
9344,-8700,-8396
8088,-6564,-16876
8748,-2620,-19960
11912,-1304,-13228
14024,-3376,-5500
13264,-5280,-4860
11552,-4500,-13704
11752,-44,-18952
13628,3664,-16364
16176,3048,-8412
16568,68,-4208
15108,-648,-9072
13180,2372,-16376
14300,7228,-18356
16568,7820,-11764
17844,4932,-5248
16100,3008,-5724
13884,4064,-13084
13832,8552,-17232
15388,9576,-14360
16816,7536,-8232
15908,4996,-4684
13564,4696,-8856
12164,6736,-15044
13220,8188,-17404
15424,7480,-11036
15476,4024,-5036
13904,1548,-4496
11492,2248,-12600
11600,3852,-19036
13580,3108,-16584
14352,-24,-8228
12364,-2968,-2592
9720,-4300,-7640
8816,-2892,-16328
9700,-1792,-19560
11472,-3592,-12036
11328,-6808,-3428
9548,-7760,-4188
7412,-6880,-13684
8868,-4848,-19684
11212,-4944,-15648
11984,-6584,-6792
10580,-7628,-3756
8680,-7420,-12348
9344,-4832,-19996
10428,-3436,-19296
12288,-3716,-11076
12476,-5404,-4668
10960,-5896,-8084
10192,-3428,-16216
11820,-568,-19692
14168,20,-13924
15232,-2144,-5920
14736,-2500,-4504
12552,-560,-11844
12960,2804,-18220
15060,3972,-16888
16704,3208,-9380
15856,1840,-3724
14088,2240,-7600
12976,4560,-15936
14256,6432,-18688
16228,6584,-13244
16568,4776,-6172
15388,4256,-5048
13100,5364,-12116
13708,7256,-18648
15100,6860,-16424
16124,4812,-8292
15268,3292,-3344
13100,3184,-8320
12452,4456,-16244
13708,4512,-19332
15816,3192,-12880
14656,-260,-4824
12312,-2136,-5164
9648,-1148,-12320
10116,428,-18436
12092,-1800,-14804
11896,-5324,-5692
9428,-7304,-1004
6892,-6976,-8384
7244,-4508,-16020
8968,-4068,-15416
10976,-5236,-7032
10444,-7540,-1476
8504,-8372,-7120
7676,-5588,-15624
9640,-2792,-18820
11884,-2756,-11760
12692,-5012,-3884
11988,-5484,-4636
10784,-3732,-13544
11596,-600,-19024
13952,220,-16104
16324,-896,-8812
15988,-2600,-4364
14256,-2344,-9872
13856,1544,-17340
15364,3636,-18688
16984,3460,-12844
17472,1440,-6336
15376,1128,-6828
13252,3652,-14712
13912,6368,-19344
15948,6536,-16600
16456,4872,-9364
14752,3916,-5624
12948,4416,-11120
12516,6528,-18264
13184,7104,-19032
14840,5836,-12244
14260,3868,-5580
12464,2960,-6424
10784,3420,-14464
12148,4940,-20044
14000,3604,-16100
14340,-476,-7184
11772,-1660,-4044
9392,-1688,-10928
9628,-604,-17792
10936,-776,-17216
12404,-3304,-8828
10792,-6532,-1688
8496,-6736,-5652
7812,-4400,-14668
9684,-3012,-18028
11556,-3328,-10540
11828,-5728,-2356
10808,-6664,-3932
9188,-5296,-13500
9692,-2700,-19328
12040,-1912,-15172
13624,-3544,-6408
12960,-5028,-2624
11432,-4588,-9768
11612,-1876,-17856
13224,360,-18348
15172,360,-11028
15668,-1632,-4448
14352,-2116,-6724
13028,616,-14488
13596,3664,-18944
16000,3844,-15184
16936,1948,-7472
15148,1440,-4432
13240,2676,-11304
13572,5264,-18252
14784,6164,-18204
16140,5236,-11156
15332,3708,-5140
13452,3736,-7300
11856,5232,-14740
12968,6296,-19324
14740,5476,-14676
14712,3244,-6404
13180,2092,-3912
11476,2560,-11160
11680,4232,-18556
13496,3148,-17352
14564,672,-9564
12732,-1764,-2584
10032,-2440,-6576
9468,-888,-14752
11008,-328,-18216
12592,-1768,-10844
11992,-4948,-2528
9972,-6416,-3612
8056,-4692,-12332
9180,-2504,-17800
11972,-2656,-13032
12596,-4832,-4080
11140,-5644,-1912
9476,-5472,-10736
10224,-2964,-17904
11404,-1576,-16696
13472,-2128,-8748
13812,-3828,-3684
12660,-4152,-5744
11416,-2008,-14268
12352,684,-19004
15360,976,-15844
16628,-796,-8724
15576,-1500,-4672
13484,232,-11344
13872,3500,-17880
15212,4536,-18344
16988,3800,-11588
16488,2264,-5576
14600,2296,-7408
12888,4736,-14804
14052,6968,-19492
15704,6656,-15532
15784,4424,-8100
14352,3988,-4940
12400,5196,-10940
12560,7008,-17688
14080,6252,-17480
15244,4956,-11344
14104,2156,-4864
12284,2144,-6952
11628,4060,-14708
13260,3644,-19332
14688,2372,-14268
13908,-1184,-6488
11916,-2856,-4420
9676,-1568,-10912
10376,-208,-17424
12364,-1792,-15148
12508,-4284,-6652
10408,-6604,-1736
8296,-6616,-8284
8380,-3432,-16224
9580,-2900,-16484
11480,-4144,-8080
10884,-5896,-1848
9048,-6788,-6128
8096,-5096,-15212
9632,-2136,-19120
11408,-1800,-13212
12420,-4288,-4240
12148,-4740,-3796
10496,-3644,-12140
11160,-392,-18280
13132,524,-16876
15528,-732,-9952
15236,-2384,-4052
13908,-2120,-8460
13120,1324,-15540
14416,4024,-19260
16416,3944,-14156
17084,1812,-6780
15564,1384,-5260
13488,3752,-12304
14500,6632,-18504
15972,6212,-16816
16596,4744,-9824
15608,4260,-4604
13888,5156,-8740
13420,7300,-15656
14472,7976,-18200
15700,6880,-12360
15060,4648,-5456
13892,4308,-5184
12388,5636,-12068
13112,6820,-18236
15324,5604,-16248
15448,1968,-8772
13624,420,-3268
11348,1080,-8928
11860,1848,-16824
12584,1012,-17540
13092,-1100,-10908
12124,-4796,-2748
9596,-6012,-4440
7984,-3828,-12752
9524,-2448,-17684
11200,-3612,-11928
10724,-6524,-3428
9560,-7440,-3104
8124,-5788,-11404
8668,-3276,-17724
10628,-3004,-14728
11824,-4860,-7312
10956,-6328,-3504
9320,-5668,-9752
9300,-2744,-16904
11020,-896,-17588
12668,-1312,-10848
13480,-3536,-4984
12788,-3740,-7304
11984,-1156,-14456
13124,1664,-18756
15652,2068,-15228
16596,-28,-8144
15516,-432,-4948
14108,1328,-10500
14348,4540,-16748
15656,5716,-16816
16832,4576,-10408
15840,3052,-4680
14304,3312,-6848
13164,5436,-13944
14092,7144,-17888
15640,6736,-13440
15548,4524,-6632
14272,3984,-4360
12748,5076,-10620
13188,6684,-17344
14768,5760,-16836
15992,3272,-9884
14600,1544,-3924
12784,1276,-7100
12716,2880,-14668
14176,3072,-18476
15196,1308,-13060
14412,-2248,-5188
12244,-3552,-3920
10036,-2220,-11156
10788,-1080,-18124
12968,-2452,-16264
12840,-5644,-7464
10796,-6452,-1832
8760,-5460,-7616
9348,-3188,-16624
10372,-3264,-18512
11744,-4212,-11540
11340,-5392,-3796
10060,-4876,-5700
9564,-2408,-13944
11076,-340,-20020
13232,-396,-15832
13728,-2528,-7488
13088,-2008,-4524
12148,240,-10748
12868,2652,-17796
14484,2820,-17624
16004,1536,-11088
14880,668,-4724
12800,1704,-7388
12640,4236,-15092
14268,5724,-18928
15440,5140,-13848
15096,3376,-6140
13808,3144,-5208
12048,4588,-12064
12728,6652,-19008
14704,5400,-16976
14976,2440,-8740
13680,1532,-3472
12104,1768,-8696
12404,3528,-16868
13508,3324,-18848
14760,1032,-12264
13576,-1844,-4204
11596,-2828,-5136
10284,-1684,-12752
11436,60,-19024
13516,-1900,-14612
13224,-5784,-5668
10852,-6032,-2296
8836,-4428,-10196
9724,-2488,-17672
10972,-3152,-16516
12472,-4352,-8352
11064,-5672,-1588
9384,-5064,-6076
9412,-2744,-14808
11204,-1676,-19072
12964,-2016,-13004
13580,-3632,-4660
12648,-3216,-3660
11244,-952,-11584
12376,1168,-18732
14784,1208,-17148
15788,-444,-9740
14964,-208,-4244
13680,1176,-8552
13836,3964,-16220
15128,5028,-18520
16828,4160,-13172
16584,2552,-6080
14816,3080,-6240
13048,5296,-12960
14068,6940,-19052
15764,6100,-16220
15584,3628,-8816
14232,3352,-4760
12484,4700,-9772
12728,6400,-16852
13980,5388,-17708
14952,3704,-11440
13852,900,-4448
11584,816,-6428
10844,2876,-13636
11988,2600,-18092
13092,740,-13492
12420,-3192,-5328
10432,-4800,-2864
8020,-3528,-9872
9048,-1928,-16824
11524,-3316,-14976
11896,-5732,-6916
10300,-6976,-1692
8572,-6096,-7808
9768,-3248,-15604
10952,-2668,-16604
12680,-3656,-9896
12560,-5536,-3388
11076,-5280,-5328
10244,-2912,-12920
11864,-984,-18228
14308,-1068,-14544
14712,-2764,-7008
14324,-2340,-4404
13156,-436,-10936
13880,1940,-17656
15560,2692,-17240
16964,1780,-11196
16076,572,-4992
14112,1212,-7236
13404,3644,-14268
14984,5896,-18384
16584,5348,-14316
16576,3296,-7212
15240,3872,-5532
13416,5552,-11300
14156,7216,-17676
15508,6712,-16380
15716,5040,-9956
14620,4120,-4268
12880,4580,-7396
12700,6548,-14808
13944,6508,-18008
15816,4472,-12924
15120,1968,-5476
13156,1044,-5236
