ax,ay,az
7612,-228,-15412
7816,-68,-15388
8124,-260,-14928
8320,92,-14972
8276,-28,-15200
8072,-400,-15168
7860,-1012,-15136
7580,-716,-15360
7496,-1352,-16016
7092,-876,-15676
7276,-628,-15260
7156,388,-15036
7888,468,-15588
8260,576,-15168
8464,208,-14432
8432,188,-14476
8720,-960,-15476
8064,-2016,-15744
7496,-1404,-15576
6928,-2336,-15544
6356,-340,-15380
6436,-740,-15576
7224,1240,-15504
8124,1468,-14828
8864,288,-14760
9276,540,-14704
9384,-772,-15012
8408,-1208,-15120
7216,-1984,-15808
6552,-1808,-16380
5968,-1748,-16156
5784,-1148,-15288
7276,856,-15836
8600,1008,-14800
9180,892,-14480
8464,716,-15168
8392,-964,-14392
9580,-696,-14088
7352,-2972,-15704
5884,-3200,-16272
6136,-3356,-16228
5484,1832,-15776
8036,1168,-15856
8748,2084,-13664
8008,1732,-14052
9384,-820,-15444
9852,-448,-14520
7396,-3512,-14740
6424,-4608,-16488
7172,184,-18072
5840,2636,-16768
8596,-868,-14492
9536,2852,-12924
8400,4200,-13616
9680,-1304,-15420
9368,-1732,-16036
5144,-4940,-16276
5368,-4124,-15508
6076,-3112,-16532
6180,1824,-15652
9748,4100,-14168
10136,3824,-13124
9572,-1184,-13632
10168,-1540,-15136
4448,-4156,-16680
4240,-2676,-15896
4464,-4612,-16824
6488,-84,-15652
10444,4156,-14096
10552,5660,-12660
9672,-784,-13320
10072,-4568,-16556
3884,-4208,-16316
4288,-4356,-17144
5232,48,-16248
6188,1636,-15204
10736,2576,-13716
11116,2820,-12452
11616,-216,-14972
7888,-3992,-16468
2504,-4332,-15888
3028,-4832,-17344
4692,-184,-15484
9512,3508,-14716
12532,3972,-13176
12564,480,-13344
10444,-596,-15600
3988,-4208,-16744
3080,-4808,-17940
2532,-444,-15972
8024,2096,-13840
12136,3364,-14320
12752,2272,-13260
11040,-1284,-14636
5204,-3548,-15792
2292,-4124,-17932
3112,-1324,-16976
7192,1292,-14196
11920,2960,-13312
12560,1172,-13120
10816,-572,-15632
5420,-2460,-15996
3140,-3144,-17940
3204,-1468,-16680
7796,1400,-13984
11980,3016,-13088
12352,1352,-13320
9936,-2052,-16440
5048,-3084,-16388
3664,-3196,-18280
3524,36,-15588
8872,2052,-13412
11884,2220,-12872
12696,1064,-14532
8600,-2560,-16312
3476,-1228,-16760
2552,-2024,-17272
5816,-420,-15500
10356,1968,-13088
13140,2360,-12440
11396,-708,-14468
6140,-3604,-16428
4236,-2332,-19112
3148,544,-17112
7748,372,-13988
11552,2284,-12492
13176,1816,-12904
9536,-2948,-16004
2932,-2744,-16592
2012,-4592,-18212
5016,584,-15768
10556,2380,-14052
12012,1512,-11976
12120,388,-12588
7596,-3052,-16340
3756,-1460,-18260
2152,-3252,-17860
6296,404,-14712
11216,3452,-13648
13004,2104,-12484
9980,-3192,-14108
5476,-4924,-16968
3592,1060,-19724
3712,2120,-15160
9268,516,-12956
12748,48,-13064
12456,484,-14448
5612,-2688,-14256
3016,-3088,-19016
2388,-1092,-17484
8736,1432,-14532
12056,2104,-12292
12940,1516,-12864
7312,-4032,-14720
3836,-2404,-17812
2284,-2776,-19324
