ax,ay,az
9868,2904,-10108
10560,6860,-10472
12792,7396,-8880
14400,4724,-7532
13348,728,-9252
10448,100,-12092
9292,2892,-13972
10980,4800,-12932
13036,2660,-11896
12872,-2404,-13708
10128,-4904,-16688
7936,-3696,-19548
8788,-1264,-19296
10252,-1964,-18124
10844,-5536,-17792
8428,-9372,-19928
4824,-9828,-21680
3304,-7700,-21576
4680,-6000,-18984
6248,-7868,-16168
5380,-12176,-16784
2640,-13468,-17452
940,-10644,-18012
2956,-6372,-14848
5960,-5624,-11736
7972,-7756,-10900
7288,-9584,-13516
5412,-7784,-15696
5584,-3452,-14368
8928,120,-11944
11652,-944,-10700
11648,-4160,-12608
9720,-3268,-14484
8768,472,-14904
10952,4764,-13732
13896,5544,-11076
15116,3700,-10328
13544,2096,-12608
11556,3680,-14208
11860,7816,-12576
14908,10080,-11028
17044,8212,-9308
15592,4792,-10684
12600,2996,-13608
10348,4672,-15992
11464,7876,-13972
13932,6932,-11112
14668,2280,-11568
12112,-1940,-13868
9220,-1616,-16232
8768,792,-15660
10768,1096,-14224
11880,-2196,-14004
9948,-7272,-15912
6504,-8084,-18380
4748,-5732,-19804
5500,-3160,-18044
6972,-4568,-16008
6580,-8640,-16528
3304,-11112,-18324
764,-9676,-20028
1900,-5708,-17840
5352,-4044,-14400
7740,-6508,-12640
6708,-10152,-14848
4436,-9064,-17412
4024,-5044,-16992
6936,-1380,-14080
10356,-2248,-11704
10776,-5756,-13064
8684,-6612,-15348
6852,-3480,-15768
7952,1240,-12872
11308,2560,-10672
13096,964,-10008
11960,-1120,-11456
9732,-76,-13340
9756,3532,-12824
12388,7440,-10944
14972,6976,-8964
14896,3248,-9428
12500,1596,-11388
10784,3796,-13352
12672,8040,-12128
15456,8780,-9976
16488,5916,-9732
13916,1792,-11780
10392,1936,-14796
9456,5480,-14984
11796,7432,-12752
13976,4944,-10856
12388,144,-12920
9356,-1420,-15768
7540,320,-17460
9204,2760,-16340
10800,1176,-14660
10832,-2760,-15600
8540,-6480,-17720
5128,-6228,-19864
3924,-3076,-19304
6020,-1660,-17440
7300,-4280,-15836
5076,-8788,-17696
1996,-9132,-19416
1160,-5600,-19716
3772,-1480,-16828
