ax,ay,az
9148,148,-8616
9436,2872,-16504
12560,1888,-17328
14868,-552,-9368
13900,-2608,-1540
11304,512,-3168
9748,3880,-12120
12076,4788,-17172
15144,2552,-12692
16264,-332,-4244
13972,564,-1172
11492,4004,-8420
13116,6872,-14624
16464,5284,-14668
18224,2096,-7684
16344,1376,-1936
13868,3928,-5216
13460,7176,-13028
16032,7460,-16740
18712,5004,-12016
18100,2364,-4440
15480,3500,-3464
13396,6308,-11248
14708,8344,-17552
17448,5216,-15396
18568,2008,-7336
15880,2360,-2624
12916,4344,-8212
12440,6680,-15912
14932,5388,-18064
16716,1512,-12080
14788,-796,-4264
11720,740,-5152
10124,4128,-12828
11460,4212,-18180
14012,308,-14456
14064,-3180,-7128
11256,-2292,-3712
8356,836,-10744
9104,2532,-17784
12048,564,-15944
13704,-2272,-8288
11728,-3624,-3120
8944,-1252,-7596
8580,1808,-15012
11668,1216,-16956
14820,-1236,-9804
14020,-3224,-2328
11188,-1168,-3624
9240,2732,-11976
11580,4080,-17016
14876,888,-12704
16176,-2164,-4992
13484,-976,-1844
10716,2836,-7908
11696,5736,-14744
14976,4292,-14776
17020,1448,-7908
15960,204,-2148
13184,2848,-4880
12600,6288,-11916
15108,7392,-15928
17992,5116,-12204
17856,2624,-4720
15272,4036,-2552
12932,6880,-9676
14608,9432,-16432
17264,7236,-15932
18520,3820,-8732
16392,3316,-2776
13860,5484,-6540
13660,8288,-14204
15648,7708,-17444
17712,4340,-12740
16752,1812,-5460
13712,2968,-5020
12156,5944,-11384
13076,6828,-17456
15252,2684,-14796
16220,-1036,-7500
13504,-1268,-3564
10400,1692,-8756
10304,3444,-15620
12272,1288,-17168
14260,-2112,-9956
12156,-4056,-3240
9584,-2076,-5500
8660,1160,-13428
10748,1264,-17044
13696,-1736,-11516
13612,-4160,-3316
10488,-1932,-3428
8128,788,-11440
9972,2384,-16948
13368,-188,-14088
14848,-3452,-5548
12492,-2328,-1152
9484,352,-7680
9540,3084,-14668
13016,2472,-16120
15256,-536,-10432
14160,-2032,-4064
11748,376,-4336
10740,3528,-11156
13028,5160,-15956
15692,2208,-13796
15940,-820,-7512
14000,420,-4308
11996,3952,-9436
13420,6992,-15036
16288,5760,-15788
17624,2936,-10404
15868,2332,-4608
13660,4552,-6708
13692,7868,-12848
15744,8728,-16764
17696,6868,-12580
16880,4024,-6076
14456,4976,-4140
12964,7692,-10188
14832,9284,-16756
17296,6728,-15876
17772,3428,-8868
15788,3296,-3048
13476,5556,-6884
13604,7848,-14048
15756,6200,-16948
17276,2700,-11988
15760,636,-4052
13076,1592,-4732
11876,4640,-10944
12572,5016,-16620
14628,1552,-13516
15044,-2016,-5632
12740,-1568,-1876
9628,1440,-7468
10128,3176,-14604
12524,808,-14816
14168,-2804,-8148
11624,-3756,-2104
8956,-1420,-5652
8660,1616,-13084
10960,1408,-16156
13684,-1348,-10632
12972,-3728,-3336
10280,-1640,-3580
8488,1284,-11444
10488,2408,-17576
13556,-336,-14888
14760,-3700,-6864
12648,-2656,-2608
9920,532,-8628
10588,3216,-15480
13596,2436,-17456
15388,-552,-11880
14268,-1608,-4808
12052,872,-4720
11200,5204,-12180
13436,6436,-17616
16112,3700,-14868
16372,1256,-7712
14296,2884,-4240
12416,6280,-9140
14152,9060,-15996
16456,7864,-16196
17444,5076,-9780
16048,4544,-3812
13828,6700,-6520
13632,9864,-13608
15876,9592,-17464
17868,6768,-12568
17380,4588,-6532
15120,5224,-3576
13240,7376,-8968
14508,9328,-15656
16676,6528,-16024
17668,2884,-9388
15812,2632,-2928
13392,4372,-5156
12768,6640,-12316
14404,5772,-16088
16216,1968,-12540
15228,-1472,-4868
12700,-148,-3212
10944,3652,-9048
11468,4140,-15016
13704,552,-13856
14220,-3140,-7604
11516,-2708,-3060
8728,164,-7584
9176,2416,-14048
11372,276,-14908
13016,-2676,-9060
11180,-3996,-3196
8368,-1900,-5748
7736,1028,-12912
10316,1252,-17072
13160,-1320,-12172
13072,-3748,-4760
10528,-2028,-4008
8688,1544,-11580
10604,3068,-17796
13628,456,-16148
15224,-2044,-9128
13376,-1724,-3660
10904,1768,-7572
11496,4992,-14364
13992,4692,-17520
16032,1940,-13260
15476,-4,-6344
13476,2244,-5120
12816,5996,-10520
14844,7900,-16128
17044,6108,-14544
17592,3476,-7772
15844,4164,-3860
13680,7228,-7968
14728,10224,-14252
17120,9320,-15444
18056,6400,-9772
15920,5072,-3384
13584,6472,-4684
13612,9652,-11676
15588,9576,-16252
17840,6440,-12284
17040,3484,-5060
14720,4928,-2564
12792,7580,-8540
13844,8448,-15472
16320,5148,-14888
17196,1800,-8084
15016,1428,-2120
12612,3296,-6120
12176,4708,-13112
13828,3472,-16120
15472,-96,-11204
14012,-2696,-4292
11584,-1512,-3892
10320,1236,-10368
11052,2084,-15400
13004,-940,-13752
13488,-4808,-7268
10604,-3288,-3900
7896,52,-9060
8976,1544,-15572
11476,-700,-15612
13292,-3424,-9168
11332,-4076,-3776
8408,-1168,-7488
8256,1764,-14624
11288,1884,-17948
13648,-804,-12896
13164,-3128,-5468
11576,-500,-4332
9788,3312,-11432
11428,4384,-17012
14480,2196,-15632
15528,-504,-8700
13424,260,-3684
11628,3656,-7044
12136,6740,-13636
14816,6496,-15524
16764,3932,-10244
15568,2196,-4032
13728,4532,-4240
13176,7912,-10536
15300,9152,-15716
18044,6832,-12756
17996,3712,-5796
15560,4764,-2588
13532,7856,-8460
14824,9996,-15116
17168,7320,-14756
18324,4116,-8164
16172,3532,-1932
13552,5576,-4660
13332,8096,-11780
15648,7528,-16336
17312,4100,-11796
16236,1984,-3776
14116,3392,-1920
12396,5952,-8884
13048,6688,-15564
15156,3500,-14732
15528,-388,-8932
13692,-136,-3576
11400,2660,-7220
11608,4920,-13552
13048,3164,-15548
14668,-572,-11348
13036,-2376,-6164
10324,32,-7104
9400,2516,-12792
11252,2540,-17216
13468,20,-14512
13260,-3848,-8396
10972,-1872,-6296
8840,1044,-11504
10092,2892,-16628
12464,40,-15616
13928,-3404,-9080
11860,-3248,-4216
9248,-200,-8232
9404,2548,-15056
12176,2000,-17784
14292,-880,-11528
13376,-2364,-4040
11140,220,-3948
10264,3260,-10904
12008,4164,-16788
14948,1324,-14368
15968,-1576,-6908
13968,-200,-2292
11920,3632,-6608
12980,6004,-13356
15408,4340,-14804
17004,1612,-9280
16140,580,-2796
13968,3244,-3560
13268,6796,-9628
15260,7776,-14696
17420,5680,-12092
17312,2848,-4840
15252,4180,-2492
13380,7464,-7828
14508,9916,-14344
17068,7848,-13844
18044,4604,-8244
15856,4720,-2812
13100,7360,-6116
13272,9564,-13344
15984,8444,-16756
17760,5284,-11996
16468,3320,-5108
14284,4820,-4720
12824,7620,-11256
13684,7784,-17256
15988,4748,-15556
15864,904,-8856
13732,1324,-4356
11792,3716,-9072
11500,4456,-15944
13040,2272,-17120
14756,-1440,-11412
12644,-3036,-4988
10380,-1384,-6584
9564,1832,-12560
11184,1368,-16936
