ax,ay,az
7760,-436,-15252
7736,-420,-15292
7708,-412,-15296
7696,-340,-15276
7708,-440,-15316
7764,-372,-15312
7724,-320,-15356
7668,-436,-15320
7704,-392,-15356
7800,-440,-15248
7696,-492,-15364
7740,-472,-15232
7736,-488,-15352
7756,-420,-15324
7728,-424,-15360
7696,-344,-15372
7728,-376,-15224
7792,-348,-15196
7700,-356,-15336
7712,-440,-15156
7732,-380,-15268
7704,-384,-15228
7728,-416,-15332
7748,-448,-15348
7724,-452,-15264
7768,-440,-15308
7656,-348,-15244
7712,-356,-15268
7676,-396,-15248
7724,-416,-15328
7776,-464,-15324
7724,-372,-15200
7712,-420,-15332
7728,-400,-15284
7684,-420,-15208
7688,-468,-15228
7732,-488,-15292
7652,-448,-15288
7732,-408,-15264
7768,-420,-15304
7724,-440,-15256
7680,-404,-15364
7712,-364,-15308
7740,-376,-15328
7752,-396,-15296
7784,-384,-15328
7712,-440,-15236
7748,-384,-15424
7804,-424,-15264
7748,-432,-15264
7772,-356,-15432
7720,-436,-15324
7784,-432,-15212
7760,-372,-15316
7728,-348,-15324
7664,-352,-15340
7768,-380,-15220
7736,-392,-15272
7720,-432,-15340
7672,-368,-15380
7724,-460,-15288
7780,-432,-15308
7768,-464,-15332
7752,-496,-15120
7736,-404,-15188
7712,-396,-15264
7744,-368,-15308
7768,-440,-15300
7716,-404,-15328
7768,-392,-15316
7720,-392,-15248
7792,-368,-15204
7724,-440,-15192
7720,-440,-15244
7712,-428,-15220
7756,-416,-15312
7768,-436,-15344
7676,-364,-15284
7696,-500,-15208
7768,-372,-15244
7668,-420,-15212
7716,-364,-15372
7768,-348,-15388
7832,-384,-15260
7708,-432,-15192
7716,-440,-15200
7776,-492,-15276
7728,-432,-15308
7716,-416,-15264
7756,-384,-15224
7752,-380,-15400
7708,-424,-15256
7732,-420,-15284
7784,-400,-15268
7684,-428,-15332
7728,-396,-15364
7796,-432,-15328
7736,-440,-15320
7744,-416,-15360
7744,-440,-15260
7732,-384,-15316
7776,-356,-15316
7720,-400,-15332
7768,-408,-15188
7752,-436,-15204
7756,-376,-15328
7704,-452,-15296
7756,-424,-15320
7740,-468,-15308
7764,-364,-15344
7748,-456,-15360
7756,-340,-15340
7712,-340,-15212
7804,-424,-15324
7752,-412,-15380
7832,-344,-15268
7756,-456,-15324
7744,-432,-15284
7792,-460,-15284
7732,-392,-15256
7692,-420,-15324
7732,-480,-15320
7716,-476,-15316
7728,-408,-15352
7744,-436,-15256
7740,-412,-15252
7680,-460,-15332
7808,-340,-15160
7712,-408,-15300
7776,-404,-15288
7776,-464,-15256
7744,-436,-15172
7820,-472,-15316
7744,-376,-15276
7788,-440,-15264
7692,-340,-15276
7744,-416,-15156
7712,-352,-15184
7764,-336,-15216
7744,-444,-15236
7764,-444,-15320
7708,-420,-15260
7788,-416,-15268
7776,-344,-15336
7772,-452,-15228
7772,-392,-15248
7664,-440,-15220
7680,-400,-15272
7684,-436,-15264
7728,-356,-15248
7684,-476,-15224
7768,-412,-15240
7716,-440,-15312
7680,-412,-15284
7660,-376,-15372
7764,-428,-15364
7728,-452,-15364
7760,-460,-15188
7752,-416,-15192
7740,-460,-15232
7772,-404,-15280
7808,-400,-15272
7744,-516,-15260
7712,-356,-15320
7736,-356,-15220
7692,-432,-15372
7772,-412,-15256
7768,-396,-15304
7740,-396,-15296
7732,-432,-15296
7756,-416,-15320
7744,-436,-15312
7752,-368,-15200
7716,-388,-15256
7764,-416,-15320
7744,-424,-15288
7784,-396,-15260
7792,-488,-15332
7744,-336,-15280
7772,-364,-15280
7764,-356,-15384
7772,-392,-15312
7720,-336,-15204
7716,-452,-15336
7716,-380,-15236
7700,-364,-15244
7752,-440,-15276
7716,-392,-15360
7760,-392,-15392
7708,-432,-15372
7732,-368,-15420
7796,-448,-15284
7724,-408,-15232
7780,-404,-15292
7732,-320,-15216
7760,-412,-15376
7728,-396,-15276
7716,-392,-15320
7736,-420,-15324
7696,-400,-15348
7724,-412,-15268
7736,-424,-15224
7720,-412,-15216
7728,-416,-15280
7736,-416,-15232
7780,-436,-15288
7720,-464,-15188
7692,-432,-15224
7776,-496,-15280
7792,-356,-15396
7700,-436,-15276
7696,-420,-15232
7732,-396,-15300
7736,-412,-15264
7768,-360,-15324
7760,-456,-15344
7768,-456,-15288
7760,-416,-15380
7708,-456,-15372
7772,-452,-15244
7820,-464,-15292
7748,-384,-15248
7780,-452,-15340
7716,-368,-15304
7724,-440,-15284
7768,-384,-15236
7684,-300,-15320
7664,-424,-15244
7736,-400,-15240
7732,-432,-15292
7728,-416,-15348
7808,-420,-15280
7720,-360,-15356
7684,-476,-15344
7744,-496,-15256
7692,-472,-15176
7772,-412,-15304
7640,-408,-15212
7732,-424,-15328
7664,-424,-15292
7700,-384,-15248
7664,-456,-15264
7740,-432,-15400
7728,-348,-15228
7700,-408,-15336
7704,-440,-15308
7732,-456,-15336
7732,-452,-15212
7680,-444,-15368
7664,-432,-15400
7744,-388,-15324
7708,-460,-15256
7732,-364,-15316
7696,-400,-15272
7724,-392,-15280
7724,-336,-15272
7768,-436,-15280
7716,-396,-15300
7744,-484,-15308
7748,-420,-15292
7664,-436,-15296
7748,-360,-15360
7732,-468,-15328
7756,-440,-15312
7680,-420,-15348
7688,-408,-15400
7768,-452,-15144
7696,-356,-15280
7744,-432,-15352
7720,-420,-15308
7752,-424,-15264
7684,-432,-15204
7788,-372,-15240
7764,-496,-15304
7764,-364,-15300
7712,-448,-15276
7700,-396,-15296
7732,-340,-15276
7764,-348,-15264
7808,-368,-15332
7736,-332,-15252
7728,-468,-15320
7744,-384,-15340
7780,-368,-15300
7736,-424,-15296
7756,-444,-15432
7780,-412,-15332
7744,-468,-15232
7760,-464,-15276
7768,-376,-15248
7764,-416,-15344
7740,-408,-15232
7712,-460,-15392
7688,-444,-15264
7712,-416,-15344
7756,-372,-15328
7708,-384,-15336
7764,-388,-15228
7716,-444,-15328
7708,-364,-15324
7716,-372,-15364
7636,-412,-15336
7720,-464,-15272
7796,-368,-15328
