ax,ay,az
7652,-320,-15308
7688,-348,-15336
7752,-360,-15224
7808,-432,-15344
7752,-440,-15244
7800,-440,-15324
7784,-548,-15420
7820,-472,-15216
7804,-544,-15296
7708,-436,-15232
7720,-432,-15360
7736,-376,-15240
7700,-328,-15268
7720,-344,-15268
7728,-344,-15232
7688,-400,-15284
7764,-344,-15272
7756,-480,-15296
7792,-444,-15312
7768,-556,-15332
7768,-476,-15252
7788,-496,-15364
7760,-420,-15368
7656,-372,-15324
7708,-260,-15148
7736,-260,-15304
7716,-308,-15264
7780,-316,-15340
7740,-396,-15288
7700,-460,-15368
7804,-504,-15408
7840,-512,-15168
7828,-572,-15180
7804,-508,-15324
7708,-412,-15312
7720,-468,-15344
7736,-336,-15300
7752,-308,-15252
7688,-332,-15300
7628,-304,-15212
7624,-312,-15412
7700,-420,-15280
7796,-468,-15296
7840,-492,-15364
7812,-484,-15324
7776,-500,-15328
7804,-516,-15236
7736,-444,-15264
7752,-392,-15304
7756,-388,-15372
7688,-344,-15340
7580,-336,-15404
7596,-344,-15116
7644,-372,-15152
7980,-256,-15432
7716,-560,-15504
7580,-568,-15224
7720,-452,-15196
7732,-516,-15232
7888,-456,-15348
7856,-516,-15332
7796,-548,-15444
7664,-408,-15320
7648,-384,-15224
7620,-284,-15164
7740,-268,-15184
7732,-356,-15388
7724,-340,-15396
7652,-436,-15324
7756,-412,-15216
7780,-480,-15276
7768,-592,-15072
7916,-488,-15172
7808,-404,-15324
7784,-504,-15412
7720,-404,-15260
7756,-328,-15456
7748,-332,-15232
7780,-264,-15224
7620,-320,-15220
7620,-428,-15300
7700,-416,-15192
7736,-440,-15232
7780,-456,-15332
7800,-480,-15328
7768,-444,-15220
7672,-452,-15368
7776,-464,-15232
7776,-404,-15184
7768,-440,-15284
7716,-380,-15332
7740,-352,-15328
7672,-396,-15320
7744,-420,-15388
7696,-452,-15240
7728,-448,-15224
7740,-440,-15284
7764,-520,-15336
7724,-428,-15408
7800,-472,-15248
7752,-428,-15192
7724,-468,-15268
7700,-408,-15380
7720,-400,-15296
7736,-324,-15344
7760,-396,-15224
7720,-376,-15336
7732,-372,-15244
7664,-408,-15260
7704,-480,-15292
7792,-492,-15200
7788,-476,-15332
7756,-464,-15240
7776,-408,-15232
7744,-440,-15352
7740,-368,-15272
7676,-368,-15300
7708,-324,-15272
7764,-376,-15316
7688,-368,-15248
7796,-368,-15352
7732,-440,-15252
7740,-456,-15344
7808,-500,-15208
7768,-552,-15288
7732,-468,-15140
7828,-520,-15372
7816,-416,-15240
7740,-432,-15268
7748,-352,-15320
7732,-352,-15300
7692,-348,-15360
7688,-380,-15360
7760,-408,-15320
7744,-376,-15236
7720,-364,-15236
7716,-456,-15360
7704,-396,-15240
7720,-480,-15384
7792,-448,-15264
7776,-388,-15276
7756,-436,-15272
7720,-400,-15276
7696,-408,-15140
7700,-444,-15324
7632,-372,-15324
7716,-424,-15252
7756,-376,-15268
7748,-448,-15320
7804,-440,-15292
7724,-460,-15296
7768,-492,-15320
7668,-480,-15276
7708,-420,-15376
7748,-444,-15292
7680,-380,-15368
7676,-408,-15340
7744,-408,-15352
7776,-356,-15296
7672,-364,-15248
7736,-384,-15244
7696,-344,-15268
7764,-352,-15340
7692,-412,-15252
7772,-388,-15276
7720,-460,-15336
7704,-500,-15276
7680,-520,-15292
7796,-488,-15340
7768,-476,-15308
7832,-476,-15304
7680,-484,-15208
7576,-420,-15244
7668,-348,-15144
8148,-220,-15648
7680,-520,-15576
7692,-344,-15196
7604,-296,-15164
7688,-480,-15292
7800,-392,-15300
7768,-424,-15212
7836,-392,-15368
7740,-508,-15392
7732,-452,-15296
7616,-364,-15316
7692,-488,-15180
7716,-392,-15308
7712,-356,-15236
7600,-360,-15308
7668,-320,-15476
7756,-388,-15336
7672,-424,-15244
7828,-360,-15204
7808,-428,-15140
7812,-512,-15364
7792,-528,-15356
7796,-480,-15288
7816,-460,-15344
7700,-404,-15244
7720,-376,-15192
7740,-404,-15316
7644,-284,-15340
7688,-288,-15244
7592,-360,-15384
7696,-384,-15316
7760,-400,-15284
7796,-520,-15264
7784,-468,-15268
7736,-452,-15228
7816,-528,-15308
7808,-428,-15312
7724,-396,-15292
7712,-444,-15332
7676,-352,-15316
7652,-336,-15324
7652,-276,-15284
7688,-260,-15148
7680,-312,-15296
7728,-388,-15292
7796,-464,-15252
7796,-484,-15280
7780,-492,-15284
7788,-568,-15316
7728,-536,-15224
7784,-504,-15356
7692,-420,-15304
7584,-440,-15252
7800,-244,-15152
7668,-352,-15252
7704,-316,-15272
